"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1217099";"01";"18225";"";"";"52922";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2015";"1";"2015-05-11";"2015-05-15";"23456T234";"";"26";"REGULAR";"f";"2015-06-01 12:53:14.625";"f";"";"15";"CONSOLIDADA";"";"Presencial";
"1217100";"01";"18695";"";"";"52921";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2015";"1";"2015-04-14";"2015-04-17";"345T2345 6T234 (14/04/2015 - 17/04/2015)";"";"26";"REGULAR";"f";"2015-10-08 16:19:21.901";"f";"";"8";"CONSOLIDADA";"";"Presencial";
"1217101";"01";"5753068";"";"";"52925";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2015";"1";"2015-02-09";"2015-02-13";"23456T123456";"";"26";"REGULAR";"f";"2015-06-01 12:50:38.962";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1217102";"01";"";"109565745";"";"52920";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2015";"1";"2015-03-10";"2015-03-13";"23456T123456";"";"26";"REGULAR";"f";"2015-08-26 11:48:34.146";"f";"";"24";"CONSOLIDADA";"";"Presencial";
"1217102";"01";"";"109565716";"";"52920";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2015";"1";"2015-03-10";"2015-03-13";"23456T123456";"";"26";"REGULAR";"f";"2015-08-26 11:48:34.146";"f";"";"24";"CONSOLIDADA";"";"Presencial";
"1237217";"01";"26152";"";"";"55558";"LATO SENSU";"";"DOD";"2015";"1";"2015-03-05";"2015-03-27";"6T2345";"";"12";"REGULAR";"f";"2016-02-10 14:06:53.464";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1237222";"01";"5753866";"";"";"55563";"LATO SENSU";"";"DOD";"2015";"1";"2015-01-08";"2015-04-30";"6N234";"";"12";"REGULAR";"f";"2016-02-15 21:20:30.937";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1239193";"01";"";"105114315";"";"56346";"TÉCNICO";"";"EAJ";"2015";"1";"2015-02-02";"2015-05-20";"6N1234";"";"40";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1239196";"01";"";"106944901";"";"56340";"TÉCNICO";"";"EAJ";"2015";"1";"2015-04-01";"2015-06-10";"4N1234";"";"40";"REGULAR";"f";"2015-08-01 01:54:04.375";"f";"";"58";"CONSOLIDADA";"";"Presencial";
"1239203";"01";"";"105135549";"";"57142";"TÉCNICO";"";"ESCOLA AGRÍCOLA DE JUNDIAÍ - EAJ";"2015";"1";"2015-02-23";"2015-06-20";"5N1234";"";"40";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1239272";"01";"5756213";"";"";"52656";"GRADUAÇÃO";"Campus Central";"B203 no CIVT";"2015";"1";"2015-02-02";"2015-06-20";"24T56 (02/02/2015 - 20/06/2015)";"";"60";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1239275";"01";"5757161";"";"";"2041854";"GRADUAÇÃO";"Campus Central";"DNUT / Sala 2";"2015";"1";"2015-02-02";"2015-06-20";"6M34";"5";"45";"REGULAR";"f";"2015-06-23 09:49:33.375";"f";"";"34";"CONSOLIDADA";"";"Presencial";
"1239275";"01";"22932";"";"";"2041854";"GRADUAÇÃO";"Campus Central";"DNUT / Sala 2";"2015";"1";"2015-02-02";"2015-06-20";"6M34";"5";"45";"REGULAR";"f";"2015-06-23 09:49:33.375";"f";"";"34";"CONSOLIDADA";"";"Presencial";
"1239275";"01";"1574976";"";"";"2041854";"GRADUAÇÃO";"Campus Central";"DNUT / Sala 2";"2015";"1";"2015-02-02";"2015-06-20";"6M34";"5";"45";"REGULAR";"f";"2015-06-23 09:49:33.375";"f";"";"34";"CONSOLIDADA";"";"Presencial";
"1239276";"01";"5757037";"";"";"2045600";"GRADUAÇÃO";"Campus Central";"DNUT / Sala 1";"2015";"1";"2015-02-02";"2015-06-20";"2T23 4T345";"28";"40";"REGULAR";"f";"2015-06-19 10:28:09.708";"f";"";"87";"CONSOLIDADA";"";"Presencial";
